"x"	"y"	"z"
103.955032416067	465.820129664267	-207.910064832134
95.8962906917772	433.585162767109	-191.792581383554
106.777703556877	477.110814227509	-213.555407113754
99.8245682680576	449.29827307223	-199.649136536115
101.635697334467	456.542789337866	-203.271394668933
100.460837912007	451.843351648027	-200.921675824014
99.2943872169106	447.177548867643	-198.588774433821
108.326865201458	483.307460805834	-216.653730402917
108.196264772295	482.78505908918	-216.39252954459
96.6212447103682	436.484978841473	-193.242489420736
98.3096613522904	443.238645409161	-196.619322704581
99.9998282151731	449.999312860692	-199.999656430346
95.1024440066439	430.409776026576	-190.204888013288
102.464579636309	459.858318545237	-204.929159272619
102.371156352421	459.484625409686	-204.742312704843
105.422418454529	471.689673818115	-210.844836909057
96.6481663345201	436.592665338081	-193.29633266904
104.018137812034	466.072551248136	-208.036275624068
103.668728407914	464.674913631655	-207.337456815827
99.4135084145017	447.654033658007	-198.827016829003
94.9546869008702	429.818747603481	-189.90937380174
98.9857410719289	445.942964287716	-197.971482143858
106.667802636344	476.671210545375	-213.335605272687
102.889254059407	461.557016237629	-205.778508118814
102.37562252273	459.502490090922	-204.751245045461
88.459928276071	403.839713104284	-176.919856552142
100.064445806314	450.257783225254	-200.128891612627
102.458835698854	459.835342795416	-204.917671397708
95.459263136862	431.837052547448	-190.918526273724
98.0957950494103	442.383180197641	-196.191590098821
101.262818953752	455.051275815009	-202.525637907505
100.65556556783	452.622262271321	-201.311131135661
103.83063342563	465.322533702522	-207.661266851261
99.4756147077735	447.902458831094	-198.951229415547
99.8129514253445	449.251805701378	-199.625902850689
104.330255576508	467.321022306032	-208.660511153016
100.2243770261	450.897508104399	-200.448754052199
94.8735655406407	429.494262162563	-189.747131081281
96.4208741010199	435.68349640408	-192.84174820204
103.093698600828	462.374794403311	-206.187397201656
103.069496886106	462.277987544424	-206.138993772212
102.803895987455	461.21558394982	-205.60779197491
102.15554197675	458.622167906998	-204.311083953499
104.525319969642	468.101279878569	-209.050639939284
98.2464951628491	442.985980651396	-196.492990325698
105.609270038564	472.437080154257	-211.218540077129
94.6459816798482	428.583926719393	-189.291963359696
103.056101447527	462.224405790107	-206.112202895054
98.417972903215	443.67189161286	-196.83594580643
102.826695863995	461.306783455979	-205.653391727989
99.5354458832064	448.141783532825	-199.070891766413
98.0744084344613	442.297633737845	-196.148816868923
100.195359582132	450.78143832853	-200.390719164265
101.245212022897	454.98084809159	-202.490424045795
